Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2015-04-24,4579.0,,,,,,,,,,
2015-04-27,4556.0,,,,,,,,,,
2015-04-28,4596.0,,,,,,,,,,
2015-04-29,4515.0,,,,,,,,,,
2015-04-30,4532.0,,,,,,,,,,
2015-05-01,4570.0,,,,,,,,,,
2015-05-05,4536.0,,,,,,,,,,
2015-05-06,4530.0,,,,,,,,,,
2015-05-07,4611.0,,,,,,,,,,
2015-05-08,4737.0,,,,,,,,,,
2015-05-11,4948.0,,,,,,,,,,
2015-05-12,5396.0,,,,,,,,,,
2015-05-13,6976.0,,,,,,,,,,
2015-05-14,7100.0,,,,,,,,,,
2015-05-15,6946.0,,,,,,,,,,
2015-05-18,6849.0,,,,,,,,,,
2015-05-19,6563.0,,,,,,,,,,
2015-05-20,6135.0,,,,,,,,,,
2015-05-21,5665.0,,,,,,,,,,
2015-05-22,5458.0,,,,,,,,,,
2015-05-26,5436.0,,,,,,,,,,
2015-05-27,5575.0,,,,,,,,,,
2015-05-28,5564.0,,,,,,,,,,
2015-05-29,5517.0,,,,,,,,,,
2015-06-01,5460.0,,,,,,,,,,
2015-06-02,5473.0,,,,,,,,,,
2015-06-03,5604.0,,,,,,,,,,
2015-06-04,5579.0,,,,,,,,,,
2015-06-05,5615.0,,,,,,,,,,
2015-06-08,5549.0,,,,,,,,,,
2015-06-09,5435.0,,,,,,,,,,
2015-06-10,5313.0,,,,,,,,,,
2015-06-11,5285.0,,,,,,,,,,
2015-06-12,5467.0,,,,,,,,,,
2015-06-15,5663.0,,,,,,,,,,
2015-06-16,6155.0,,,,,,,,,,
2015-06-17,7203.0,,,,,,,,,,
2015-06-18,8607.0,,,,,,,,,,
2015-06-19,8671.0,,,,,,,,,,
2015-06-22,8673.0,,,,,,,,,,
2015-06-23,9134.0,,,,,,,,,,
2015-06-24,10554.0,,,,,,,,,,
2015-06-25,10553.0,,,,,,,,,,
2015-06-26,10270.0,,,,,,,,,,
2015-06-29,9907.0,,,,,,,,,,
2015-06-30,9468.0,,,,,,,,,,
2015-07-01,9174.0,,,,,,,,,,
2015-07-02,8979.0,,,,,,,,,,
2015-07-03,9120.0,,,,,,,,,,
2015-07-06,9253.0,,,,,,,,,,
2015-07-07,9388.0,,,,,,,,,,
2015-07-08,9334.0,,,,,,,,,,
2015-07-09,9316.0,,,,,,,,,,
2015-07-10,9612.0,,,,,,,,,,
2015-07-13,10186.0,,,,,,,,,,
2015-07-14,10369.0,,,,,,,,,,
2015-07-15,11142.0,,,,,,,,,,
2015-07-16,12693.0,,,,,,,,,,
2015-07-17,13573.0,,,,,,,,,,
2015-07-20,13973.0,,,,,,,,,,
2015-07-21,15453.0,,,,,,,,,,
2015-07-22,15466.0,,,,,,,,,,
2015-07-23,14988.0,,,,,,,,,,
2015-07-24,14603.0,,,,,,,,,,
2015-07-27,14900.0,,,,,,,,,,
2015-07-28,15218.0,,,,,,,,,,
2015-07-29,15894.0,,,,,,,,,,
2015-07-30,16024.0,,,,,,,,,,
2015-07-31,17242.0,,,,,,,,,,
2015-08-03,18065.0,,,,,,,,,,
2015-08-04,19879.0,,,,,,,,,,
2015-08-05,20601.0,,,,,,,,,,
