Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2018-09-20,14097.0,13700.0,21764.0,14241.0,6008.0,13933.0,14449.0,,
2018-09-21,14350.0,14135.0,22045.0,14382.0,6028.0,14217.0,14712.0,,
2018-09-24,14546.0,14358.0,22445.0,14492.0,6093.0,14343.0,14932.0,,
2018-09-25,14841.0,14840.0,22818.0,14628.0,6091.0,14444.0,15277.0,,
2018-09-26,15153.0,15380.0,23320.0,14741.0,6175.0,14478.0,15578.0,,
2018-09-27,15286.0,15475.0,23651.0,14823.0,6164.0,14561.0,15768.0,,
2018-09-28,15351.0,15540.0,23723.0,14896.0,6156.0,14528.0,15847.0,,
2018-10-01,15342.0,15525.0,23717.0,14832.0,6133.0,14494.0,15894.0,,
2018-10-02,15239.0,15370.0,23371.0,14632.0,6076.0,14486.0,15980.0,,
2018-10-03,15256.0,15480.0,23271.0,14553.0,6054.0,14444.0,16052.0,,
2018-10-04,15481.0,15800.0,23491.0,14738.0,6197.0,14463.0,16258.0,,
2018-10-05,15659.0,16045.0,23673.0,14939.0,6245.0,14550.0,16403.0,,
2018-10-08,15806.0,16235.0,23816.0,15083.0,6376.0,14631.0,16525.0,,
2018-10-09,15821.0,16305.0,23845.0,15033.0,6306.0,14650.0,16570.0,,
2018-10-10,15855.0,16345.0,23864.0,15085.0,6280.0,14689.0,16609.0,,
2018-10-11,15939.0,16610.0,24186.0,15009.0,6207.0,14689.0,16650.0,,
2018-10-12,15996.0,16845.0,24374.0,14951.0,6169.0,14664.0,16643.0,,
2018-10-15,16011.0,16945.0,24441.0,14911.0,6153.0,14581.0,16624.0,,
2018-10-16,16110.0,17313.0,24702.0,14862.0,6120.0,14569.0,16613.0,,
2018-10-17,16096.0,17470.0,24747.0,14787.0,6100.0,14514.0,16489.0,,
2018-10-18,16013.0,17468.0,24717.0,14658.0,6050.0,14497.0,16348.0,,
2018-10-19,15856.0,17323.0,24541.0,14493.0,6018.0,14500.0,16155.0,,
